,Voters,date,voters_expected,voters_observed
254,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",1993-05-18,12.0,12.0
255,"['Mr. Greenspan', 'Mr. Mullins', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Oltman', 'Ms. Phillips', 'Mr. Stern']",1993-07-07,12.0,12.0
256,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",1993-08-17,12.0,12.0
257,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",1993-09-21,12.0,12.0
258,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",1993-11-16,12.0,12.0
259,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",1993-12-21,12.0,12.0
260,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",1994-02-04,10.0,10.0
261,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",1994-03-22,10.0,10.0
262,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",1994-05-17,10.0,10.0
263,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",1994-07-06,11.0,11.0
264,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",1994-08-16,12.0,12.0
265,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",1994-09-27,12.0,12.0
266,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",1994-11-15,12.0,12.0
267,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",1994-12-20,12.0,12.0
268,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",1995-02-01,12.0,12.0
269,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Mr. Kohn']",1995-03-28,11.0,11.0
270,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",1995-05-23,11.0,11.0
271,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",1995-07-06,11.0,11.0
272,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",1995-08-22,11.0,11.0
273,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",1995-09-26,11.0,11.0
274,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",1995-11-15,11.0,11.0
275,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",1995-12-19,11.0,11.0
276,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Ms. Phillips', 'Mr. Stern', 'Ms. Yellen']",1996-01-31,10.0,10.0
277,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Ms. Phillips', 'Mr. Stern', 'Ms. Yellen']",1996-03-26,10.0,10.0
278,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Ms. Phillips', 'Mr. Stern', 'Ms. Yellen']",1996-05-21,10.0,10.0
279,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",1996-07-03,12.0,12.0
280,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",1996-08-20,12.0,12.0
281,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",1996-09-24,12.0,12.0
282,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",1996-11-13,12.0,12.0
283,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",1996-12-17,12.0,12.0
284,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-02-05,10.0,10.0
285,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-03-25,10.0,10.0
286,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-05-20,10.0,10.0
287,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-07-02,10.0,10.0
288,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-08-19,10.0,10.0
289,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-09-30,10.0,10.0
290,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-11-12,12.0,12.0
291,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",1997-12-16,12.0,12.0
292,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Kohn']",1998-02-04,12.0,12.0
293,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Ms. Phillips', 'Mr. Poole', 'Ms. Rivlin']",1998-03-31,12.0,12.0
294,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Ms. Phillips', 'Mr. Poole', 'Ms. Rivlin']",1998-05-19,12.0,12.0
295,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",1998-07-01,11.0,11.0
296,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",1998-08-18,11.0,11.0
297,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",1998-09-29,11.0,11.0
298,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",1998-11-17,11.0,11.0
299,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",1998-12-22,11.0,11.0
300,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",1999-02-03,11.0,11.0
